MAL_ID,Name,Score,Genre,Episodes,Studios,Source,Rating,Favorites,Completed,Dropped,Premiered
36220,Itsudatte Bokura no Koi wa 10 cm Datta.,7.52,Comedy,6,Lay-duce,Music,PG-13 - Teens 13 or older,569,74290,2576,Fall 2017
32717,Aikatsu Stars!,7.52,Music,100,Bandai Namco Pictures,Original,PG - Children,242,3733,1267,Spring 2016
3369,Shoubushi Densetsu Tetsuya,7.52,Game,20,Toei Animation,Manga,R - 17+ (violence & profanity),31,3080,210,Fall 2000
21743,Donten ni Warau,7.52,Action,12,Doga Kobo,Manga,PG-13 - Teens 13 or older,707,50019,6093,Fall 2014
13655,Little Busters!,7.52,Slice of Life,26,J.C.Staff,Visual novel,PG-13 - Teens 13 or older,1915,106133,14488,Fall 2012
17249,Pretty Rhythm: Rainbow Live,7.52,Slice of Life,51,"Tatsunoko Production, Dongwoo A&E",Game,PG - Children,169,4717,583,Spring 2013
11319,Zero no Tsukaima F,7.52,Adventure,12,J.C.Staff,Light novel,PG-13 - Teens 13 or older,1201,273812,5188,Winter 2012
2800,Candy Candy,7.52,Slice of Life,115,Toei Animation,Manga,G - All Ages,346,13177,1644,Fall 1976
1563,Magic Knight Rayearth II,7.52,Adventure,29,TMS Entertainment,Manga,PG-13 - Teens 13 or older,160,19168,569,Spring 1995
587,Hanbun no Tsuki ga Noboru Sora,7.52,Comedy,6,Group TAC,Light novel,PG-13 - Teens 13 or older,476,55246,1375,Winter 2006
2549,Perrine Monogatari,7.52,Slice of Life,53,Nippon Animation,Novel,G - All Ages,16,1226,167,Winter 1978
10793,Guilty Crown,7.52,Action,22,Production I.G,Original,R - 17+ (violence & profanity),17500,620576,48643,Fall 2011
13663,To LOVE-Ru Darkness,7.51,Comedy,12,Xebec,Manga,R+ - Mild Nudity,2042,215176,5079,Fall 2012
14467,K,7.51,Action,13,GoHands,Original,PG-13 - Teens 13 or older,6458,400631,22455,Fall 2012
355,Shakugan no Shana,7.51,Action,24,J.C.Staff,Light novel,PG-13 - Teens 13 or older,5502,288718,20836,Fall 2005
12291,Acchi Kocchi (TV),7.51,Slice of Life,12,AIC,4-koma manga,PG-13 - Teens 13 or older,2400,152078,10842,Spring 2012
2227,Lady Lady!!,7.51,Drama,21,Toei Animation,Manga,G - All Ages,37,2793,241,Fall 1987
37614,Hitoribocchi no Marumaru Seikatsu,7.51,Comedy,12,C2C,4-koma manga,PG-13 - Teens 13 or older,929,74921,7613,Spring 2019
39469,Tsugu Tsugumomo,7.51,Action,12,Zero-G,Manga,R+ - Mild Nudity,243,26073,1578,Spring 2020
10378,Shinryaku!? Ika Musume,7.51,Comedy,12,Diomedéa,Manga,PG-13 - Teens 13 or older,155,52577,1862,Fall 2011
29,Zipang,7.51,Action,26,Studio Deen,Manga,PG-13 - Teens 13 or older,152,6807,599,Fall 2004
1212,Oban Star-Racers,7.51,Adventure,26,Hal Film Maker,Original,PG - Children,489,27831,1175,Spring 2006
28979,To LOVE-Ru Darkness 2nd,7.51,Comedy,12,Xebec,Manga,R+ - Mild Nudity,898,139229,3364,Summer 2015
270,Hellsing,7.5,Action,13,Gonzo,Manga,R - 17+ (violence & profanity),5798,378129,16327,Fall 2001
38753,Araburu Kisetsu no Otome-domo yo.,7.5,Comedy,12,Lay-duce,Manga,PG-13 - Teens 13 or older,1090,112318,7198,Summer 2019
